,Point,Latitude,Longitude,nom,code_pra
4836,11819,47.4251,5.041,Plaine Viticole de Bourgogne,21440
4848,11820,47.4226,5.1469,Plaine Viticole de Bourgogne,21440
4860,11821,47.4199,5.2529,Plaine Viticole de Bourgogne,21440
4872,11963,47.4945,5.1507,Plaine Viticole de Bourgogne,21440
4884,11964,47.4919,5.2568,Plaine Viticole de Bourgogne,21440
4896,12107,47.5638,5.2608,Plaine Viticole de Bourgogne,21440
5436,10966,46.9801,5.5447,Val d Amour et Foret de Chaux,39203
5448,10967,46.9771,5.6498,Val d Amour et Foret de Chaux,39203
5460,10968,46.974,5.7549,Val d Amour et Foret de Chaux,39203
5472,11110,47.049,5.6542,Val d Amour et Foret de Chaux,39203
5580,3641,43.3552,2.1888,Montagne Noire,11413
5592,3642,43.3553,2.2873,Montagne Noire,11413
5604,3785,43.4272,2.2873,Montagne Noire,11413
5616,3787,43.4271,2.4845,Montagne Noire,11413
5724,6907,44.9818,-0.148,Vallee de l Isle,33119
5736,7050,45.0537,-0.1512,Vallee de l Isle,33119
5748,7051,45.0559,-0.0497,Vallee de l Isle,33119
5760,7052,45.0581,0.0518,Vallee de l Isle,33119
5868,4034,43.5074,-1.369,Seignanx,40144
5880,4177,43.5792,-1.3737,Seignanx,40144
5940,7246,45.1158,5.2338,Bas-Dauphine,38199
5952,7389,45.1877,5.2376,Bas-Dauphine,38199
5964,7531,45.2622,5.1395,Bas-Dauphine,38199
5976,7532,45.2596,5.2413,Bas-Dauphine,38199
5988,7533,45.2569,5.3432,Bas-Dauphine,38199
6000,7534,45.2541,5.445,Bas-Dauphine,38199
6012,7673,45.3367,5.0412,Bas-Dauphine,38199
6024,7674,45.3341,5.1431,Bas-Dauphine,38199
6036,7675,45.3315,5.2451,Bas-Dauphine,38199
6048,7676,45.3288,5.3471,Bas-Dauphine,38199
6060,7677,45.326,5.449,Bas-Dauphine,38199
6072,7814,45.4134,4.8404,Bas-Dauphine,38199
6084,7815,45.411,4.9426,Bas-Dauphine,38199
6096,7816,45.4086,5.0447,Bas-Dauphine,38199
6108,7817,45.4061,5.1468,Bas-Dauphine,38199
6120,7818,45.4035,5.2489,Bas-Dauphine,38199
6132,7819,45.4007,5.351,Bas-Dauphine,38199
6144,7820,45.3979,5.4531,Bas-Dauphine,38199
6156,7821,45.395,5.5551,Bas-Dauphine,38199
6168,7958,45.483,4.946,Bas-Dauphine,38199
6180,7959,45.4805,5.0482,Bas-Dauphine,38199
6192,7960,45.478,5.1504,Bas-Dauphine,38199
6204,7961,45.4754,5.2527,Bas-Dauphine,38199
6216,7962,45.4727,5.3549,Bas-Dauphine,38199
6228,7963,45.4698,5.4571,Bas-Dauphine,38199
6240,7964,45.4669,5.5593,Bas-Dauphine,38199
6252,7965,45.4639,5.6615,Bas-Dauphine,38199
6264,8101,45.5549,4.9494,Bas-Dauphine,38199
6276,8102,45.5524,5.0517,Bas-Dauphine,38199
6288,8103,45.5499,5.1541,Bas-Dauphine,38199
6300,8104,45.5473,5.2565,Bas-Dauphine,38199
6312,8105,45.5446,5.3588,Bas-Dauphine,38199
6324,8106,45.5418,5.4612,Bas-Dauphine,38199
6336,8107,45.5389,5.5635,Bas-Dauphine,38199
6348,8108,45.5359,5.6658,Bas-Dauphine,38199
6360,8245,45.6244,5.0553,Bas-Dauphine,38199
6372,8246,45.6218,5.1578,Bas-Dauphine,38199
6384,8247,45.6192,5.2603,Bas-Dauphine,38199
6396,8248,45.6165,5.3628,Bas-Dauphine,38199
6408,8249,45.6137,5.4653,Bas-Dauphine,38199
6420,8250,45.6108,5.5677,Bas-Dauphine,38199
6432,8389,45.6938,5.1615,Bas-Dauphine,38199
6444,8390,45.6911,5.2641,Bas-Dauphine,38199
6456,8391,45.6884,5.3667,Bas-Dauphine,38199
6468,8392,45.6856,5.4693,Bas-Dauphine,38199
6480,8532,45.7657,5.1652,Bas-Dauphine,38199
6492,8533,45.7631,5.2679,Bas-Dauphine,38199
6504,8534,45.7603,5.3707,Bas-Dauphine,38199
6516,8535,45.7575,5.4734,Bas-Dauphine,38199
6528,8677,45.8322,5.3747,Bas-Dauphine,38199
7740,9638,46.3718,1.2447,Boischaut du Sud,36436
7752,9640,46.3737,1.4526,Boischaut du Sud,36436
7764,9781,46.4438,1.2432,Boischaut du Sud,36436
7776,9782,46.4448,1.3474,Boischaut du Sud,36436
7788,9783,46.4456,1.4515,Boischaut du Sud,36436
7800,9784,46.4464,1.5556,Boischaut du Sud,36436
7812,9785,46.4471,1.6597,Boischaut du Sud,36436
7824,9787,46.4481,1.868,Boischaut du Sud,36436
7836,9788,46.4485,1.9721,Boischaut du Sud,36436
7848,9789,46.4488,2.0762,Boischaut du Sud,36436
7860,9926,46.5176,1.4503,Boischaut du Sud,36436
7872,9927,46.5184,1.5545,Boischaut du Sud,36436
7884,9928,46.519,1.6588,Boischaut du Sud,36436
7896,9929,46.5196,1.7631,Boischaut du Sud,36436
7908,9930,46.5201,1.8673,Boischaut du Sud,36436
7920,9931,46.5205,1.9716,Boischaut du Sud,36436
